ID,Plate,Treatment,genotypes,Root,nLRd
109,32,Salt,Col-0,1,9
25,11,Salt,Col-0,0,10
279,17,Salt,Col-0,3,10
306,24,Sorbitol,Col-0,3,10
277,29,Salt,Col-0,3,10
102,30,Salt,Col-0,1,10
29,32,Salt,Col-0,0,10
237,34,Sorbitol,Col-0,2,10
266,68,Salt,Col-0,3,10
195,77,Salt,Col-0,2,10
278,15,Salt,Col-0,3,11
65,25,Sorbitol,Col-0,0,11
255,27,Control,Col-0,3,11
315,37,Sorbitol,Col-0,3,11
63,42,Sorbitol,Col-0,0,11
69,55,Sorbitol,Col-0,0,11
318,8,Sorbitol,Col-0,3,12
105,11,Salt,Col-0,1,12
23,23,Salt,Col-0,0,12
103,23,Salt,Col-0,1,12
226,24,Sorbitol,Col-0,2,12
107,65,Salt,Col-0,1,12
238,8,Sorbitol,Col-0,2,13
175,27,Control,Col-0,2,13
197,29,Salt,Col-0,2,13
22,30,Salt,Col-0,0,13
317,34,Sorbitol,Col-0,3,13
239,36,Sorbitol,Col-0,2,13
235,37,Sorbitol,Col-0,2,13
67,40,Sorbitol,Col-0,0,13
147,40,Sorbitol,Col-0,1,13
186,68,Salt,Col-0,2,13
275,77,Salt,Col-0,3,13
5,19,Control,Col-0,0,14
143,42,Sorbitol,Col-0,1,14
166,50,Control,Col-0,2,14
149,55,Sorbitol,Col-0,1,14
85,19,Control,Col-0,1,15
145,25,Sorbitol,Col-0,1,15
246,50,Control,Col-0,3,15
82,74,Control,Col-0,1,15
199,17,Salt,Col-0,2,16
257,21,Control,Col-0,3,17
179,71,Control,Col-0,2,17
198,15,Salt,Col-0,2,18
87,16,Control,Col-0,1,18
178,41,Control,Col-0,2,18
89,44,Control,Col-0,1,18
142,54,Sorbitol,Col-0,1,18
83,57,Control,Col-0,1,18
2,74,Control,Col-0,0,18
7,16,Control,Col-0,0,19
177,21,Control,Col-0,2,20
62,54,Sorbitol,Col-0,0,20
3,57,Control,Col-0,0,20
259,71,Control,Col-0,3,20
9,44,Control,Col-0,0,21
258,41,Control,Col-0,3,22
74,56,Sorbitol,A,0,5
154,56,Sorbitol,A,1,8
310,66,Sorbitol,A,3,8
172,1,Control,A,2,9
240,12,Sorbitol,A,2,9
119,17,Salt,A,1,9
39,17,Salt,A,0,10
280,38,Salt,A,3,10
236,75,Sorbitol,A,2,10
113,76,Salt,A,1,10
79,36,Sorbitol,A,0,11
159,36,Sorbitol,A,1,11
270,47,Salt,A,3,11
33,76,Salt,A,0,11
118,15,Salt,A,1,12
34,18,Salt,A,0,12
37,29,Salt,A,0,12
77,34,Sorbitol,A,0,12
311,53,Sorbitol,A,3,12
93,72,Control,A,1,13
316,75,Sorbitol,A,3,13
192,79,Salt,A,2,13
272,79,Salt,A,3,13
196,6,Salt,A,2,14
158,8,Sorbitol,A,1,14
117,29,Salt,A,1,14
232,60,Sorbitol,A,2,14
153,70,Sorbitol,A,1,14
13,72,Control,A,0,14
94,9,Control,A,1,15
157,34,Sorbitol,A,1,15
190,47,Salt,A,2,15
99,71,Control,A,1,15
252,1,Control,A,3,16
276,6,Salt,A,3,16
14,9,Control,A,0,16
200,38,Salt,A,2,16
171,80,Control,A,2,16
114,18,Salt,A,1,17
17,21,Control,A,0,17
191,35,Salt,A,2,17
180,46,Control,A,2,17
271,35,Salt,A,3,18
98,41,Control,A,1,18
256,43,Control,A,3,18
19,71,Control,A,0,18
251,80,Control,A,3,18
97,21,Control,A,1,20
176,43,Control,A,2,20
170,61,Control,A,2,20
260,46,Control,A,3,22
18,41,Control,A,0,23
250,61,Control,A,3,25
182,30,Salt,B,2,7
108,4,Salt,B,1,8
66,24,Sorbitol,B,0,8
31,35,Salt,B,0,8
151,53,Sorbitol,B,1,8
72,60,Sorbitol,B,0,8
106,68,Salt,B,1,8
224,14,Sorbitol,B,2,9
262,30,Salt,B,3,9
30,47,Salt,B,0,9
301,51,Sorbitol,B,3,9
70,66,Sorbitol,B,0,9
28,4,Salt,B,0,10
263,23,Salt,B,3,10
225,25,Sorbitol,B,2,10
111,35,Salt,B,1,10
221,51,Sorbitol,B,2,10
150,66,Sorbitol,B,1,10
261,3,Salt,B,3,11
71,53,Sorbitol,B,0,11
302,54,Sorbitol,B,3,11
26,68,Salt,B,0,11
185,11,Salt,B,2,12
265,11,Salt,B,3,12
304,14,Sorbitol,B,3,12
165,19,Control,B,2,12
68,49,Sorbitol,B,0,12
264,59,Salt,B,3,12
152,60,Sorbitol,B,1,12
181,3,Salt,B,2,13
183,23,Salt,B,2,13
305,25,Sorbitol,B,3,13
184,59,Salt,B,2,13
32,79,Salt,B,0,13
11,80,Control,B,0,13
245,19,Control,B,3,14
303,42,Sorbitol,B,3,14
222,54,Sorbitol,B,2,14
112,79,Salt,B,1,14
146,24,Sorbitol,B,1,15
223,42,Sorbitol,B,2,15
148,49,Sorbitol,B,1,15
10,61,Control,B,0,15
12,1,Control,B,0,16
164,7,Control,B,2,16
244,7,Control,B,3,16
161,33,Control,B,2,16
110,47,Salt,B,1,16
243,57,Control,B,3,16
90,61,Control,B,1,16
92,1,Control,B,1,17
86,50,Control,B,1,17
163,57,Control,B,2,17
162,74,Control,B,2,17
241,33,Control,B,3,18
6,50,Control,B,0,18
242,74,Control,B,3,20
91,80,Control,B,1,20
269,32,Salt,C,3,5
308,49,Sorbitol,C,3,5
141,51,Sorbitol,C,1,6
314,56,Sorbitol,C,3,6
116,6,Salt,C,1,7
80,12,Sorbitol,C,0,7
160,12,Sorbitol,C,1,7
307,40,Sorbitol,C,3,7
268,4,Salt,C,3,8
36,6,Salt,C,0,8
64,14,Sorbitol,C,0,8
61,51,Sorbitol,C,0,8
313,70,Sorbitol,C,3,8
76,75,Sorbitol,C,0,8
156,75,Sorbitol,C,1,8
35,77,Salt,C,0,8
115,77,Salt,C,1,8
188,4,Salt,C,2,9
155,37,Sorbitol,C,1,9
40,38,Salt,C,0,9
234,56,Sorbitol,C,2,9
24,59,Salt,C,0,9
267,65,Salt,C,3,9
233,70,Sorbitol,C,2,9
193,76,Salt,C,2,9
273,76,Salt,C,3,9
101,3,Salt,C,1,10
194,18,Salt,C,2,10
187,65,Salt,C,2,10
144,14,Sorbitol,C,1,11
274,18,Salt,C,3,11
189,32,Salt,C,2,11
120,38,Salt,C,1,11
104,59,Salt,C,1,11
15,27,Control,C,0,12
21,3,Salt,C,0,13
228,49,Sorbitol,C,2,13
253,72,Control,C,3,13
167,16,Control,C,2,14
247,16,Control,C,3,14
75,37,Sorbitol,C,0,14
169,44,Control,C,2,14
20,46,Control,C,0,14
84,7,Control,C,1,16
16,43,Control,C,0,16
96,43,Control,C,1,16
173,72,Control,C,2,16
100,46,Control,C,1,17
249,44,Control,C,3,18
4,7,Control,C,0,19
254,9,Control,C,3,19
174,9,Control,C,2,20
95,27,Control,C,1,20
1,33,Control,C,0,20
81,33,Control,C,1,23
