ID,Plate,Treatment,genotypes,Root,DAG,Angle
1,1,Control,C,0,10,-1.2682029
2,1,Control,C,1,10,-8.4031551
3,1,Control,A,2,10,9.2483487
4,1,Control,A,3,10,-5.8585818
9,3,Salt,B,0,10,14.1062524
10,3,Salt,B,1,10,-8.2385749
11,3,Salt,C,2,10,3.7508114
12,3,Salt,C,3,10,15.7706056
13,4,Salt,C,0,10,11.2968044
14,4,Salt,C,1,10,6.3267216
15,4,Salt,B,2,10,6.9251008
16,4,Salt,B,3,10,-6.7312341
21,6,Salt,B,0,10,-5.9444509
22,6,Salt,B,1,10,-2.9206715
23,6,Salt,A,2,10,21.8836522
24,6,Salt,A,3,10,35.1617039
25,7,Control,B,0,10,1.5473923
26,7,Control,B,1,10,-6.0060865
27,7,Control,C,2,10,5.6232394
28,7,Control,C,3,10,0.3362905
30,8,Sorbitol,A,1,10,3.997108
31,8,Sorbitol,Col-0,2,10,3.3482127
32,8,Sorbitol,Col-0,3,10,3.4808003
33,9,Control,A,0,10,-7.8101854
34,9,Control,A,1,10,-10.0269643
35,9,Control,B,2,10,-4.5846695
36,9,Control,B,3,10,2.4063569
41,11,Salt,Col-0,0,10,-2.2219978
42,11,Salt,Col-0,1,10,0.3509618
43,11,Salt,C,2,10,-1.9146666
44,11,Salt,C,3,10,-6.1548207
45,12,Sorbitol,B,0,10,0.6696584
46,12,Sorbitol,B,1,10,1.8858419
47,12,Sorbitol,A,2,10,2.4203452
53,14,Sorbitol,B,0,10,0.2546288
54,14,Sorbitol,B,1,10,8.8966486
55,14,Sorbitol,C,2,10,4.1546941
56,14,Sorbitol,C,3,10,6.860897
58,15,Salt,A,1,10,16.7268047
59,15,Salt,Col-0,2,10,-2.7235523
60,15,Salt,Col-0,3,10,-4.7816249
61,16,Control,Col-0,0,10,-9.3778231
62,16,Control,Col-0,1,10,-6.6455562
63,16,Control,B,2,10,-1.1655861
64,16,Control,B,3,10,-5.0764705
65,17,Salt,A,0,10,14.1763028
66,17,Salt,A,1,10,17.0529326
67,17,Salt,Col-0,2,10,9.338152
68,17,Salt,Col-0,3,10,-4.4745396
69,18,Salt,A,0,10,6.5846568
