ID,Tray,Position,Treatment,Genotype,Survival
4,1,16,Control,Col-0,1
3,1,17,Control,Col-0,1
2,1,23,Control,Col-0,1
1,1,35,Control,Col-0,1
5,1,37,Control,Col-0,1
39,2,3,Control,Col-0,1
38,2,12,Control,Col-0,1
40,2,25,Control,Col-0,1
36,2,31,Control,Col-0,1
37,2,38,Control,Col-0,1
73,3,2,Control,Col-0,1
75,3,16,Control,Col-0,1
74,3,22,Control,Col-0,1
71,3,23,Control,Col-0,1
72,3,32,Control,Col-0,1
107,4,10,Control,Col-0,1
109,4,14,Control,Col-0,1
106,4,18,Control,Col-0,1
110,4,21,Control,Col-0,1
108,4,34,Control,Col-0,1
284,1,16,Salt,Col-0,0
283,1,17,Salt,Col-0,1
282,1,23,Salt,Col-0,0
281,1,35,Salt,Col-0,1
285,1,37,Salt,Col-0,1
319,2,3,Salt,Col-0,0
318,2,12,Salt,Col-0,0
320,2,25,Salt,Col-0,1
316,2,31,Salt,Col-0,1
317,2,38,Salt,Col-0,1
353,3,2,Salt,Col-0,1
355,3,16,Salt,Col-0,0
354,3,22,Salt,Col-0,0
351,3,23,Salt,Col-0,1
352,3,32,Salt,Col-0,1
387,4,10,Salt,Col-0,1
389,4,14,Salt,Col-0,1
386,4,18,Salt,Col-0,1
390,4,21,Salt,Col-0,1
388,4,34,Salt,Col-0,1
6,1,11,Control,A,1
7,1,12,Control,A,1
8,1,20,Control,A,1
9,1,27,Control,A,1
10,1,34,Control,A,1
41,2,5,Control,A,1
45,2,6,Control,A,1
44,2,11,Control,A,1
43,2,26,Control,A,1
42,2,37,Control,A,1
78,3,7,Control,A,1
76,3,11,Control,A,1
80,3,25,Control,A,1
77,3,35,Control,A,1
79,3,36,Control,A,1
112,4,1,Control,A,1
113,4,13,Control,A,1
111,4,26,Control,A,1
115,4,32,Control,A,1
114,4,37,Control,A,1
286,1,11,Salt,A,1
287,1,12,Salt,A,1
288,1,20,Salt,A,0
289,1,27,Salt,A,1
290,1,34,Salt,A,1
321,2,5,Salt,A,1
325,2,6,Salt,A,1
324,2,11,Salt,A,1
323,2,26,Salt,A,1
322,2,37,Salt,A,1
358,3,7,Salt,A,0
356,3,11,Salt,A,1
360,3,25,Salt,A,0
357,3,35,Salt,A,1
359,3,36,Salt,A,0
392,4,1,Salt,A,0
393,4,13,Salt,A,1
391,4,26,Salt,A,1
395,4,32,Salt,A,0
394,4,37,Salt,A,0
14,1,4,Control,B,1
11,1,8,Control,B,1
12,1,28,Control,B,1
15,1,31,Control,B,1
13,1,32,Control,B,1
49,2,9,Control,B,1
47,2,10,Control,B,1
48,2,20,Control,B,1
50,2,29,Control,B,1
46,2,39,Control,B,1
81,3,15,Control,B,1
84,3,24,Control,B,1
85,3,28,Control,B,1
82,3,31,Control,B,1
83,3,40,Control,B,1
119,4,5,Control,B,1
120,4,7,Control,B,1
118,4,15,Control,B,1
116,4,23,Control,B,1
117,4,40,Control,B,1
294,1,4,Salt,B,0
291,1,8,Salt,B,0
292,1,28,Salt,B,0
295,1,31,Salt,B,0
293,1,32,Salt,B,0
329,2,9,Salt,B,0
327,2,10,Salt,B,0
328,2,20,Salt,B,1
330,2,29,Salt,B,0
326,2,39,Salt,B,0
361,3,15,Salt,B,0
364,3,24,Salt,B,0
365,3,28,Salt,B,0
362,3,31,Salt,B,0
363,3,40,Salt,B,1
399,4,5,Salt,B,1
400,4,7,Salt,B,0
398,4,15,Salt,B,1
396,4,23,Salt,B,0
397,4,40,Salt,B,1
24,1,7,Control,C,1
21,1,10,Control,C,1
23,1,21,Control,C,1
25,1,26,Control,C,1
22,1,29,Control,C,1
60,2,1,Control,C,1
59,2,8,Control,C,1
58,2,24,Control,C,1
56,2,32,Control,C,1
57,2,33,Control,C,1
95,3,1,Control,C,1
93,3,6,Control,C,1
94,3,18,Control,C,1
91,3,26,Control,C,1
92,3,37,Control,C,1
130,4,3,Control,C,1
126,4,6,Control,C,1
129,4,16,Control,C,1
127,4,27,Control,C,1
128,4,29,Control,C,1
304,1,7,Salt,C,0
301,1,10,Salt,C,1
303,1,21,Salt,C,1
305,1,26,Salt,C,1
302,1,29,Salt,C,1
340,2,1,Salt,C,1
339,2,8,Salt,C,1
338,2,24,Salt,C,1
336,2,32,Salt,C,1
337,2,33,Salt,C,1
375,3,1,Salt,C,1
373,3,6,Salt,C,1
374,3,18,Salt,C,1
371,3,26,Salt,C,1
372,3,37,Salt,C,1
410,4,3,Salt,C,1
406,4,6,Salt,C,1
409,4,16,Salt,C,1
407,4,27,Salt,C,1
408,4,29,Salt,C,1
17,1,5,Control,D,1
19,1,6,Control,D,1
18,1,9,Control,D,1
16,1,39,Control,D,1
20,1,40,Control,D,1
51,2,7,Control,D,1
54,2,14,Control,D,1
52,2,16,Control,D,1
53,2,34,Control,D,1
55,2,35,Control,D,1
90,3,5,Control,D,1
87,3,20,Control,D,1
89,3,21,Control,D,1
86,3,27,Control,D,1
88,3,34,Control,D,1
121,4,17,Control,D,1
124,4,19,Control,D,1
122,4,20,Control,D,1
123,4,36,Control,D,1
125,4,38,Control,D,1
297,1,5,Salt,D,1
299,1,6,Salt,D,0
298,1,9,Salt,D,0
296,1,39,Salt,D,0
300,1,40,Salt,D,0
331,2,7,Salt,D,1
334,2,14,Salt,D,1
332,2,16,Salt,D,0
333,2,34,Salt,D,1
335,2,35,Salt,D,1
370,3,5,Salt,D,0
367,3,20,Salt,D,0
369,3,21,Salt,D,1
366,3,27,Salt,D,0
368,3,34,Salt,D,0
401,4,17,Salt,D,1
404,4,19,Salt,D,0
402,4,20,Salt,D,1
403,4,36,Salt,D,1
405,4,38,Salt,D,1
