ID,Root,Plate,Genotype,Sucrose,NaCl,DAG,MRLd
51,2,5,Col-0,Sucrose,0 mM,5,1.112146
51,2,5,Col-0,Sucrose,0 mM,8,3.6816447
51,2,5,Col-0,Sucrose,0 mM,9,5.0534606
51,2,5,Col-0,Sucrose,0 mM,10,6.579656
51,2,5,Col-0,Sucrose,0 mM,11,7.750533
51,2,5,Col-0,Sucrose,0 mM,12,8.899135
52,3,5,Col-0,Sucrose,0 mM,5,1.1418138
52,3,5,Col-0,Sucrose,0 mM,8,3.4402134
52,3,5,Col-0,Sucrose,0 mM,9,4.593646
52,3,5,Col-0,Sucrose,0 mM,10,5.9428577
52,3,5,Col-0,Sucrose,0 mM,11,6.9859085
52,3,5,Col-0,Sucrose,0 mM,12,8.160404
53,2,9,Col-0,Sucrose,0 mM,5,0.97054404
53,2,9,Col-0,Sucrose,0 mM,8,3.4866395
53,2,9,Col-0,Sucrose,0 mM,9,4.7218676
53,2,9,Col-0,Sucrose,0 mM,10,6.1349936
53,2,9,Col-0,Sucrose,0 mM,11,7.235454
53,2,9,Col-0,Sucrose,0 mM,12,8.445529
54,3,9,Col-0,Sucrose,0 mM,5,1.1905186
54,3,9,Col-0,Sucrose,0 mM,8,3.6489878
54,3,9,Col-0,Sucrose,0 mM,9,4.774712
54,3,9,Col-0,Sucrose,0 mM,10,6.1051025
54,3,9,Col-0,Sucrose,0 mM,11,7.199231
54,3,9,Col-0,Sucrose,0 mM,12,8.413095
29,0,12,Col-0,Sucrose,0 mM,5,1.1244273
29,0,12,Col-0,Sucrose,0 mM,8,3.8402128
29,0,12,Col-0,Sucrose,0 mM,9,5.138509
29,0,12,Col-0,Sucrose,0 mM,10,6.549921
29,0,12,Col-0,Sucrose,0 mM,11,7.540479
29,0,12,Col-0,Sucrose,0 mM,12,8.560103
30,1,12,Col-0,Sucrose,0 mM,5,1.2260119
30,1,12,Col-0,Sucrose,0 mM,8,4.1973124
30,1,12,Col-0,Sucrose,0 mM,9,5.550313
30,1,12,Col-0,Sucrose,0 mM,10,7.068504
30,1,12,Col-0,Sucrose,0 mM,11,8.19142
30,1,12,Col-0,Sucrose,0 mM,12,9.276327
57,2,14,Col-0,Sucrose,0 mM,5,1.0976949
57,2,14,Col-0,Sucrose,0 mM,8,3.6048412
57,2,14,Col-0,Sucrose,0 mM,9,4.9686074
57,2,14,Col-0,Sucrose,0 mM,10,6.4962397
57,2,14,Col-0,Sucrose,0 mM,11,7.755733
57,2,14,Col-0,Sucrose,0 mM,12,9.025341
58,3,14,Col-0,Sucrose,0 mM,5,1.4016014
58,3,14,Col-0,Sucrose,0 mM,8,4.03731
58,3,14,Col-0,Sucrose,0 mM,9,5.3299522
58,3,14,Col-0,Sucrose,0 mM,10,6.8417478
58,3,14,Col-0,Sucrose,0 mM,11,8.014672
58,3,14,Col-0,Sucrose,0 mM,12,9.234859
49,0,15,Col-0,Sucrose,0 mM,5,1.2807491
49,0,15,Col-0,Sucrose,0 mM,8,4.193145
49,0,15,Col-0,Sucrose,0 mM,9,5.650056
49,0,15,Col-0,Sucrose,0 mM,10,7.165556
49,0,15,Col-0,Sucrose,0 mM,11,7.165037
49,0,15,Col-0,Sucrose,0 mM,12,7.165034
50,1,15,Col-0,Sucrose,0 mM,5,1.2500895
50,1,15,Col-0,Sucrose,0 mM,8,4.053926
50,1,15,Col-0,Sucrose,0 mM,9,5.3696594
50,1,15,Col-0,Sucrose,0 mM,10,6.910303
50,1,15,Col-0,Sucrose,0 mM,11,8.076998
50,1,15,Col-0,Sucrose,0 mM,12,8.077002
111,2,20,Col-0,Sucrose,75 mM,5,1.099908
111,2,20,Col-0,Sucrose,75 mM,8,2.5797882
111,2,20,Col-0,Sucrose,75 mM,9,3.1252413
111,2,20,Col-0,Sucrose,75 mM,10,3.7777545
111,2,20,Col-0,Sucrose,75 mM,11,4.503262
111,2,20,Col-0,Sucrose,75 mM,12,5.2470317
112,3,20,Col-0,Sucrose,75 mM,5,1.0490999
112,3,20,Col-0,Sucrose,75 mM,8,2.8158674
112,3,20,Col-0,Sucrose,75 mM,9,3.5190356
112,3,20,Col-0,Sucrose,75 mM,10,4.331251
112,3,20,Col-0,Sucrose,75 mM,11,5.0043607
112,3,20,Col-0,Sucrose,75 mM,12,5.5198274
113,2,24,Col-0,Sucrose,75 mM,5,1.0366437
113,2,24,Col-0,Sucrose,75 mM,8,2.9320886
113,2,24,Col-0,Sucrose,75 mM,9,3.5969453
113,2,24,Col-0,Sucrose,75 mM,10,4.4365444
113,2,24,Col-0,Sucrose,75 mM,11,5.0987053
113,2,24,Col-0,Sucrose,75 mM,12,5.727006
114,3,24,Col-0,Sucrose,75 mM,5,1.1674414
114,3,24,Col-0,Sucrose,75 mM,8,2.9270122
114,3,24,Col-0,Sucrose,75 mM,9,3.5958924
114,3,24,Col-0,Sucrose,75 mM,10,4.3637013
114,3,24,Col-0,Sucrose,75 mM,11,4.9485188
114,3,24,Col-0,Sucrose,75 mM,12,5.5182343
89,0,27,Col-0,Sucrose,75 mM,5,1.0310788
89,0,27,Col-0,Sucrose,75 mM,8,2.8069694
89,0,27,Col-0,Sucrose,75 mM,9,3.4630833
89,0,27,Col-0,Sucrose,75 mM,10,4.2472286
89,0,27,Col-0,Sucrose,75 mM,11,4.8520513
89,0,27,Col-0,Sucrose,75 mM,12,5.5853457
90,1,27,Col-0,Sucrose,75 mM,5,1.1490778
90,1,27,Col-0,Sucrose,75 mM,8,3.0350902
90,1,27,Col-0,Sucrose,75 mM,9,3.697132
90,1,27,Col-0,Sucrose,75 mM,10,4.586087
90,1,27,Col-0,Sucrose,75 mM,11,5.322059
90,1,27,Col-0,Sucrose,75 mM,12,6.0250196
99,0,29,Col-0,Sucrose,75 mM,5,1.1399395
99,0,29,Col-0,Sucrose,75 mM,8,3.0296519
99,0,29,Col-0,Sucrose,75 mM,9,3.755
99,0,29,Col-0,Sucrose,75 mM,10,4.4668746
99,0,29,Col-0,Sucrose,75 mM,11,4.9400525
99,0,29,Col-0,Sucrose,75 mM,12,5.5345764
100,1,29,Col-0,Sucrose,75 mM,5,1.218318
100,1,29,Col-0,Sucrose,75 mM,8,2.9906194
100,1,29,Col-0,Sucrose,75 mM,9,3.6725836
100,1,29,Col-0,Sucrose,75 mM,10,4.443002
100,1,29,Col-0,Sucrose,75 mM,11,4.952083
100,1,29,Col-0,Sucrose,75 mM,12,5.4512744
119,2,30,Col-0,Sucrose,75 mM,5,1.0244315
119,2,30,Col-0,Sucrose,75 mM,8,2.639426
119,2,30,Col-0,Sucrose,75 mM,9,3.3169112
119,2,30,Col-0,Sucrose,75 mM,10,4.1111226
119,2,30,Col-0,Sucrose,75 mM,11,4.751723
119,2,30,Col-0,Sucrose,75 mM,12,5.3216453
120,3,30,Col-0,Sucrose,75 mM,5,1.2210208
120,3,30,Col-0,Sucrose,75 mM,8,2.9314172
120,3,30,Col-0,Sucrose,75 mM,9,3.6342564
120,3,30,Col-0,Sucrose,75 mM,10,4.3413625
120,3,30,Col-0,Sucrose,75 mM,11,4.914809
120,3,30,Col-0,Sucrose,75 mM,12,5.4096713
129,0,35,Col-0,Sucrose,125 mM,5,0.9527955
129,0,35,Col-0,Sucrose,125 mM,8,1.8865966
129,0,35,Col-0,Sucrose,125 mM,9,2.1369429
129,0,35,Col-0,Sucrose,125 mM,10,2.4855702
129,0,35,Col-0,Sucrose,125 mM,11,2.7116175
129,0,35,Col-0,Sucrose,125 mM,12,2.892026
130,1,35,Col-0,Sucrose,125 mM,5,1.055277
130,1,35,Col-0,Sucrose,125 mM,8,2.0476134
130,1,35,Col-0,Sucrose,125 mM,9,2.3890526
130,1,35,Col-0,Sucrose,125 mM,10,2.7533135
130,1,35,Col-0,Sucrose,125 mM,11,3.0438142
130,1,35,Col-0,Sucrose,125 mM,12,3.2629387
139,0,39,Col-0,Sucrose,125 mM,5,0.8139596
139,0,39,Col-0,Sucrose,125 mM,8,1.7309895
139,0,39,Col-0,Sucrose,125 mM,9,1.916967
139,0,39,Col-0,Sucrose,125 mM,10,2.1918871
139,0,39,Col-0,Sucrose,125 mM,11,2.3742568
139,0,39,Col-0,Sucrose,125 mM,12,2.6971881
140,1,39,Col-0,Sucrose,125 mM,5,0.78200424
140,1,39,Col-0,Sucrose,125 mM,8,1.7494736
140,1,39,Col-0,Sucrose,125 mM,9,2.119295
140,1,39,Col-0,Sucrose,125 mM,10,2.4802787
140,1,39,Col-0,Sucrose,125 mM,11,2.7247415
140,1,39,Col-0,Sucrose,125 mM,12,3.0174558
175,2,42,Col-0,Sucrose,125 mM,5,0.7597648
175,2,42,Col-0,Sucrose,125 mM,8,1.735379
175,2,42,Col-0,Sucrose,125 mM,9,2.07478
175,2,42,Col-0,Sucrose,125 mM,10,2.428957
175,2,42,Col-0,Sucrose,125 mM,11,2.600062
175,2,42,Col-0,Sucrose,125 mM,12,2.883783
176,3,42,Col-0,Sucrose,125 mM,5,0.817962
176,3,42,Col-0,Sucrose,125 mM,8,1.7445515
176,3,42,Col-0,Sucrose,125 mM,9,2.0788524
176,3,42,Col-0,Sucrose,125 mM,10,2.298537
176,3,42,Col-0,Sucrose,125 mM,11,2.3930562
176,3,42,Col-0,Sucrose,125 mM,12,2.508442
177,2,44,Col-0,Sucrose,125 mM,5,0.92992854
177,2,44,Col-0,Sucrose,125 mM,8,1.9037588
177,2,44,Col-0,Sucrose,125 mM,9,2.1676495
177,2,44,Col-0,Sucrose,125 mM,10,2.411231
177,2,44,Col-0,Sucrose,125 mM,11,2.6112866
177,2,44,Col-0,Sucrose,125 mM,12,2.8477223
178,3,44,Col-0,Sucrose,125 mM,5,0.92263615
178,3,44,Col-0,Sucrose,125 mM,8,1.7740257
178,3,44,Col-0,Sucrose,125 mM,9,2.064469
178,3,44,Col-0,Sucrose,125 mM,10,2.236122
178,3,44,Col-0,Sucrose,125 mM,11,2.327196
178,3,44,Col-0,Sucrose,125 mM,12,2.4498088
169,0,45,Col-0,Sucrose,125 mM,5,1.0619576
169,0,45,Col-0,Sucrose,125 mM,8,1.8593771
169,0,45,Col-0,Sucrose,125 mM,9,2.103037
169,0,45,Col-0,Sucrose,125 mM,10,2.2542055
169,0,45,Col-0,Sucrose,125 mM,11,2.3595078
169,0,45,Col-0,Sucrose,125 mM,12,2.4050322
170,1,45,Col-0,Sucrose,125 mM,5,0.9486981
170,1,45,Col-0,Sucrose,125 mM,8,1.8391875
170,1,45,Col-0,Sucrose,125 mM,9,2.1240277
170,1,45,Col-0,Sucrose,125 mM,10,2.371468
170,1,45,Col-0,Sucrose,125 mM,11,2.5328693
170,1,45,Col-0,Sucrose,125 mM,12,2.5316305
231,2,50,Col-0,NoSucrose,0 mM,5,1.0240754
231,2,50,Col-0,NoSucrose,0 mM,8,3.4219465
231,2,50,Col-0,NoSucrose,0 mM,9,4.5313687
231,2,50,Col-0,NoSucrose,0 mM,10,5.863708
231,2,50,Col-0,NoSucrose,0 mM,11,6.8966513
231,2,50,Col-0,NoSucrose,0 mM,12,7.978196
